ShowName,KeyName,CurrentEpisode,CurrentTime
Adventure Time,adventuretime,,
Amphibia,amphibia,,
Aqua Teen Hunger Force,athf,,
Beavis and Butthead,beavisbutthead,,
Big City Greens,bigcitygreens,,
The Boondocks,boondocks,,
The Brak Show,brak,,
Celebrity Deathmatch,cdm,,
Chowder,chowder,,
Courage the Cowardly Dog,courage,,
Dan Vs.,danvs,,
Dragonball,dragonball,,
Dragonball Z,dragonballz,,
Dragonball GT,dragonballgt,,
Duck Dodgers,duckdodgers,,
Ed Edd n Eddy,eds,,
The Fresh Prince of Bel-Air,freshprince,,
Futurama,futurama,,
Harvey Birdman Attorney At Law,birdman,,
Home Movies,homemovies,,
Inside Job,insidejob,,
Invader Zim,zim,,
Invincible,invincible,,
King of the Hill,koth,,
Looney Tunes,looneytunes,,
Malcolm in the Middle,malcolm,,
Medabots,medabots,,
Megas XLR,megas,,
Metalocalypse,metalocalypse,,
Pokemon Indigo League + Adventures in the Orange Islands,kanto,,
Pokemon The Johto Journeys + Johto League Champions + Master Quest,johto,,
Pokemon Advanced + Advanced Challenge + Advanced Battle + Battle Frontier,hoenn,,
Pokemon Diamond and Pearl + Battle Dimension,sinnoh,,
The Regular Show,regularshow,,
The Ren and Stimpy Show,renstimpy,,
Samurai Jack,jack,,
Seinfeld,seinfeld,,
Sifl and Olly,siflolly,,
Space Ghost Coast To Coast,spaceghost,,
Spongebob Squarepants,spongebob,,
It's Always Sunny In Philadelphia,sunny,,
Tex Avery,tex,,
Transformers Armada,transformersarm,,
Transformers Robots In Disguise,transformersrid,,
The Venture Bros,venturebros,,
